dev_name,ref_units,conv_date,status,year,hud_name,hud_code,hud_units,pct_occupied,unit_delta,unit_ok,match_score,zip,address
CAMPOS PLAZA II,224,2026-02-05,Under Construction,2021,PEDRO A. CAMPOS PLAZA II,NY005012570,224,99.0,0,True,83.3,10009,612 E 14th St
CAMPOS PLAZA II,224,2026-02-05,Under Construction,2022,PEDRO A. CAMPOS PLAZA II,NY005012570,224,97.0,0,True,83.3,10009,612 E 14th St
CAMPOS PLAZA II,224,2026-02-05,Under Construction,2023,PEDRO A. CAMPOS PLAZA II,NY005012570,223,97.0,-1,True,83.3,10009,612 E 14th St
CAMPOS PLAZA II,224,2026-02-05,Under Construction,2024,PEDRO A. CAMPOS PLAZA II,NY005012570,223,96.0,-1,True,83.3,10009,612 E 14th St
CAMPOS PLAZA II,224,2026-02-05,Under Construction,2025,PEDRO A. CAMPOS PLAZA II,NY005012570,224,94.0,0,True,83.3,10009,612 E 14th St
EAGLE AVENUE-EAST 163RD STREET,66,,Under Construction,2015,UNION AVE/E 163RD SITE 5,NY005013420,909,98.0,843,False,100.0,10459,950 Union Ave
EAGLE AVENUE-EAST 163RD STREET,66,,Under Construction,2016,UNION AVE/E 163RD SITE 5,NY005013420,912,97.0,846,False,100.0,10459,950 Union Ave
EAGLE AVENUE-EAST 163RD STREET,66,,Under Construction,2017,UNION AVE/E 163RD SITE 5,NY005013420,912,98.0,846,False,100.0,10459,950 Union Ave
EAGLE AVENUE-EAST 163RD STREET,66,,Under Construction,2018,UNION AVE/E 163RD SITE 5,NY005013420,912,98.0,846,False,100.0,10459,950 Union Ave
EAGLE AVENUE-EAST 163RD STREET,66,,Under Construction,2019,UNION AVE/E 163RD SITE 5,NY005013420,912,98.0,846,False,100.0,10459,950 Union Ave
EAGLE AVENUE-EAST 163RD STREET,66,,Under Construction,2020,UNION AVE/E 163RD SITE 5,NY005013420,912,98.0,846,False,100.0,10459,950 Union Ave
EAGLE AVENUE-EAST 163RD STREET,66,,Under Construction,2021,UNION AVE/E 163RD SITE 5,NY005013420,912,97.0,846,False,100.0,10459,950 Union Ave
EAGLE AVENUE-EAST 163RD STREET,66,,Under Construction,2022,UNION AVE/E 163RD SITE 5,NY005013420,912,96.0,846,False,100.0,10459,950 Union Ave
EASTCHESTER GARDENS,877,,Under Construction,2015,EASTCHESTER GARDENS,NY005010340,1054,99.0,177,True,100.0,10461,3033 Middletown Rd
