year,hud_name,code,total_units,pct_occupied,zip,address
2016,GOUVERNEUR MORRIS I,NY005011020,1885,99.0,10456,1465 Washington Ave Apt
2016,PS 139 RENAISSANCE,NY005011110,125,97.0,10030,120 W 140th St
2016,RICHMOND TERRACE,NY005011170,866,97.0,10301,145 Cassidy Pl
2016,"W.S.U.R. SITES A, B & C",NY005011270,978,99.0,10025,201 W 93rd St
2016,TOMPKINS,NY005011310,1195,99.0,11206,760 Park Ave
2016,1010 E. 178TH ST.,NY005011330,218,100.0,10460,1010 E 178th St
2016,J.L. ELLIOT,NY005011340,685,100.0,10001,288 10th Ave
2016,ELEANOR ROOSEVELT I,NY005011350,1102,100.0,11206,109 Lewis Ave
2016,BOSTON-SECOR,NY005011380,538,100.0,10475,3555 Bivona St
2016,STANLEY ISAACS,NY005011390,1322,99.0,10128,405 E 92nd St
2016,DANIEL WEBSTER,NY005011410,811,99.0,10456,1260 Webster Ave Apt
2016,JOHN P. MITCHEL,NY005011450,1825,99.0,10454,225 Willis Ave
2016,NATHAN STRAUS,NY005011530,267,98.0,10016,224 E 28th St
2016,OCEAN HILL APTS,NY005011620,361,99.0,11233,33 Saratoga Ave
2016,WYCKOFF GARDENS,NY005011630,1027,99.0,11238,487 Carlton Ave Apt
2016,GERALD J.CAREY GARDENS,NY005011660,1254,99.0,11224,2946 W 23rd St
2016,WILLIAM REID APTS,NY005011670,801,99.0,11203,728 E New York Ave
2016,LANGSTON HUGHES APTS,NY005011680,1027,99.0,11212,393 Powell St
2016,SETH LOW,NY005011690,975,99.0,11212,157 Belmont Ave
2016,SURFSIDE GARDENS,NY005011700,1506,98.0,11224,2926 W 25th St
2016,GRAVESEND,NY005011720,1330,99.0,11224,2950 W 35th St
2016,LEWIS H. LATIMER GARDENS,NY005011860,918,99.0,11354,3425 Linden Pl Apt
2016,PENNSYLVANIA/WORTMAN AVES,NY005011940,623,99.0,11207,875 Pennsylvania Ave
2016,FT INDEPENDENCE/HEATH AVE,NY005012020,575,99.0,10463,3340 Bailey Ave
2016,FHA REPOSSESSED HOUSES V,NY005012090,294,,11208,305 Atkins Ave
2016,LOUIS ARMSTRONG I,NY005012100,617,99.0,11216,385 Lexington Ave
2016,DR. RAMON E. BETANCES I,NY005012110,917,97.0,10454,400 Brook Ave
2016,STUYVESANT GARDENS I,NY005012210,479,98.0,11221,150 Malcolm X Blvd
2016,TWIN PARKS WEST SITES 1&2,NY005012270,769,98.0,10458,365 E 183rd St
2016,TAYLOR ST/WYTHE AVE,NY005012340,525,99.0,11249,626 Wythe Pl
2016,U.P.A.C.A. URA (SITE 5),NY005012410,705,97.0,10035,110 E 129th St Apt
2016,BORINQUEN PLAZA STAGE I,NY005012430,934,99.0,11206,60 Moore St
2016,HOPE GARDENS,NY005012470,1314,99.0,11221,330 Wilson Ave
2016,MARCUS GARVEY (GROUP A),NY005012520,520,99.0,11212,10 Amboy St
2016,PEDRO A. CAMPOS PLAZA II,NY005012570,224,100.0,10009,612 E 14th St
2016,UNITY PLAZA SITES 4-27,NY005012610,1015,99.0,11207,390 Georgia Ave
2016,ANDREW JACKSON,NY005012670,1710,99.0,10451,3135 Park Ave
2016,SACK-WERN HOUSES,NY005012800,811,99.0,10473,710 Croes Ave
2016,LOWER EAST SIDE II,NY005012920,474,98.0,10009,251 E 3rd St
2016,CLAREMONT GROUP IV,NY005013080,741,98.0,10456,1020 College Ave
2016,FT WASHINGTON AVE REHAB,NY005013090,593,98.0,10032,99 Fort Washington Ave
2016,TAFT REHAB 201-203 W. 117,NY005013170,341,82.0,10026,203 W 117th St
2016,UNIVERSITY AVE REHAB,NY005013410,413,96.0,10453,1925 University Ave
2016,UNION AVE/E 163RD SITE 5,NY005013420,912,97.0,10459,950 Union Ave
2016,HOWARD AVE/PARK PLACE,NY005013510,892,99.0,11233,2041 Pacific St Apt
2016,LOWER EAST SIDE III,NY005013590,182,91.0,10024,154 W 84th St
2016,WEST FARMS ROAD,NY005015300,830,97.0,10459,1317 W Farms Rd
2016,HIGHBRDGE REHAB/ANDERSON AVE,NY005015310,355,94.0,10452,1085 Anderson Ave
2016,BOULEVARD,NY005020460,1148,90.0,11207,830 Ashford St
2016,MARBLE HILL,NY005020490,1470,96.0,10463,210 W 230th St
2016,CASTLE HILL,NY005020800,1708,96.0,10473,535 Havemeyer Ave
2016,MANHATTANVILLE,NY005020810,1082,98.0,10027,1430 Amsterdam Ave
2016,MARLBORO,NY005020830,1476,97.0,11223,29 Avenue W
2016,BUSHWICK,NY005020860,1038,97.0,11206,24 Humboldt St
2016,BAY VIEW,NY005020920,1303,97.0,11236,5995 Shore Pkwy
2016,SAINT MARY'S PARK,NY005020930,821,96.0,10455,550 Cauldwell Ave
2016,LINDEN,NY005020950,1235,93.0,11207,215 Cozine Ave
2016,RUTGERS,NY005020990,630,97.0,10002,160 Madison St
2016,DREW HAMILTON,NY005021110,972,95.0,10030,200 W 143rd St
2016,STAPLETON,NY005021140,599,94.0,10304,27 Warren St
2016,BAYCHESTER,NY005021260,342,88.0,10466,1900 Schieffelin Ave
2016,WISE TOWERS,NY005021270,324,93.0,10024,136 W 91st St
2016,WILLIAMS PLAZA,NY005021280,513,95.0,11211,255 Havemeyer St Apt
2016,MURPHY,NY005021330,184,92.0,10457,1805 Crotona Ave
2016,CHELSEA,NY005021340,367,98.0,10001,415 W 25th St
2016,INDEPENDENCE,NY005021400,650,94.0,11249,130 Clymer St Apt
2016,344 EAST 28TH ST,NY005021850,177,90.0,10016,344 E 28th St
2016,AMSTERDAM ADDITION,NY005021870,152,97.0,10023,240 W 65th St
2016,FREDERICK SAMUEL (CITY),NY005023770,576,97.0,10030,2441 A C Powell Blvd
2016,PROSPECT PLAZA PHASE I,NY005025000,38,100.0,11233,1765 Prospect Pl
2016,Randolph South,NY005026001,147,,10026,234 W 114th St Apt 111
2016,MOXEY A RIGBY,NY023000001,100,99.0,11520,25 Buffalo Ave
2016,REV. MADDEN SR. CTZ. APTS,NY023000002,150,98.0,11520,240 S Main St
2016,DR E MITCHELL MALLETTE,NY023000003,100,99.0,11520,100 N Main St
2016,GREEN ACRES,NY046000002,120,98.0,11581,400 Flower Rd Apt 1A
2016,PARK GARDENS,NY046000003,170,98.0,11575,2 Babylon Tpke Apt 1
2016,INWOOD GARDENS,NY046000004,95,97.0,11096,82 Saint George Pl
2016,MEADOWBROOK GARDENS,NY046000005,158,98.0,11510,1810 Grand Ave Apt 1A
2016,MILL RIVER GARDENS,NY046000006,106,99.0,11572,2900 Rockaway Ave Apt 1A
2016,WESTOVER GARDENS,NY046000008,130,99.0,11003,132 Elmont Rd
2016,DOGWOOD TERRACE,NY046000009,104,99.0,11010,1170 Martha Pl Apt 1
2016,SALISBURY GDNS,NY046000011,100,97.0,11590,460 Salisbury Park Dr Apt 1A
2016,CHANNEL PARK HOMES,NY050001001,108,98.0,11561,500 Centre St
2016,SOL SCHER APTS,NY050002001,266,98.0,11561,225 W Park Ave
2016,DALY and KENNEDY HGTS HOME,NY069000001,209,95.0,11542,8 Mason Dr
2016,TOTTEN TOWERS,NY085000001,105,93.0,11550,20 Totten St
2016,GEN D MACARTHUR SR,NY085000002,176,95.0,11550,260 Clinton St
2016,ROCKVILLE MANOR,NY100000001,50,100.0,11570,579 Merrick Rd
2016,GREAT NECK SNR CZNS HSG,NY144000001,75,100.0,11023,700 Middle Neck Rd
2017,WILLIAMSBURG,NY005000020,1620,99.0,11206,125 Ten Eyck St
2017,RED HOOK I (EAST),NY005000040,1405,99.0,11231,624 Clinton St
