year,name,hud_code,pha_entity,address,city,zip,latitude,longitude,total_units,pct_occupied,people_per_unit,people_total,pct_reported,months_since_report,pct_movein,months_from_movein,months_waiting,hh_income,rent_per_month,pct_lt30_median,pct_female_head,pct_female_head_child,pct_disabled_all,pct_age62plus,pct_minority,pct_black_nonhsp,pct_hispanic,pct_overhoused
2015,RED HOOK II,NY005000790,NY New York NY005000790 RED HOOK II,82 Dwight St,Brooklyn,11231,40.676397,,1461.0,99.0,2.3,3263.0,100.0,4.0,3.0,191.0,,22267.0,483.0,65.0,77.0,34.0,23.0,29.0,97.0,47.0,47.0,17.0
2015,GENERAL GRANT,NY005000870,NY New York NY005000870 GENERAL GRANT,3170 Broadway,New York,10027,40.81517,,1940.0,99.0,2.3,4451.0,100.0,5.0,2.0,271.0,,23941.0,517.0,63.0,79.0,30.0,23.0,37.0,99.0,48.0,49.0,33.0
2015,JAMES MONROE,NY005000880,NY New York NY005000880 JAMES MONROE,1785 Story Ave,Bronx,10473,40.823548,,1101.0,99.0,2.5,2692.0,100.0,4.0,4.0,220.0,,21095.0,477.0,68.0,82.0,37.0,23.0,32.0,99.0,35.0,63.0,30.0
2015,LOUIS HEATON PINK,NY005000890,NY New York NY005000890 LOUIS HEATON PINK,1209 Loring Ave,Brooklyn,11208,40.66716,,1500.0,99.0,2.5,3608.0,98.0,5.0,4.0,204.0,,22823.0,499.0,65.0,81.0,39.0,20.0,27.0,99.0,61.0,37.0,26.0
2015,HERBERT H. LEHMAN VILLAGE,NY005001010,NY New York NY005001010 HERBERT H. LEHMAN VILLAGE,80 E 110th St,New York,10029,40.79566,,616.0,99.0,2.4,1466.0,100.0,4.0,4.0,225.0,,24384.0,537.0,60.0,74.0,29.0,20.0,37.0,99.0,37.0,57.0,24.0
2015,BUTLER,NY005001130,NY New York NY005001130 BUTLER,1348 Webster Ave,Bronx,10456,40.835324,,1476.0,99.0,3.0,4430.0,100.0,4.0,5.0,184.0,,20709.0,480.0,72.0,77.0,40.0,16.0,26.0,98.0,44.0,54.0,20.0
2015,JOHN ADAMS,NY005001180,NY New York NY005001180 JOHN ADAMS,680 Tinton Ave,Bronx,10455,40.816546,,925.0,99.0,2.6,2340.0,98.0,4.0,3.0,193.0,,21152.0,477.0,69.0,80.0,37.0,19.0,33.0,99.0,31.0,68.0,19.0
2015,MOTT HAVEN,NY005001210,NY New York NY005001210 MOTT HAVEN,383 E 141st St Apt,Bronx,10454,40.811491,,993.0,99.0,2.6,2545.0,99.0,5.0,3.0,206.0,,22001.0,491.0,67.0,77.0,41.0,19.0,30.0,99.0,40.0,59.0,20.0
2015,LAFAYETTE,NY005001220,NY New York NY005001220 LAFAYETTE,456 Dekalb Ave,Brooklyn,11205,40.690319,,881.0,99.0,2.8,2434.0,100.0,5.0,4.0,225.0,,27177.0,585.0,55.0,79.0,35.0,17.0,32.0,98.0,69.0,27.0,26.0
2015,DE WITT CLINTON,NY005001230,NY New York NY005001230 DE WITT CLINTON,1760 Lexington Ave,New York,10029,40.794376,,748.0,98.0,2.3,1690.0,98.0,5.0,2.0,232.0,,22987.0,508.0,64.0,73.0,29.0,21.0,40.0,98.0,37.0,52.0,25.0
2015,ROBERT FULTON,NY005001360,NY New York NY005001360 ROBERT FULTON,418 W 17th St,New York,10011,40.742945,,944.0,99.0,2.3,2130.0,99.0,5.0,3.0,231.0,,30985.0,611.0,52.0,66.0,22.0,22.0,40.0,87.0,26.0,48.0,19.0
2015,POLO GROUNDS TOWERS,NY005001490,NY New York NY005001490 POLO GROUNDS TOWERS,2931 8th Ave,New York,10039,40.830662,,1613.0,98.0,2.5,3853.0,98.0,4.0,4.0,226.0,,22612.0,509.0,65.0,76.0,34.0,20.0,35.0,99.0,57.0,40.0,28.0
2015,BCH.41 ST/BCH. CHANNEL DR,NY005001650,NY New York NY005001650 BCH.41 ST/BCH. CHANNEL DR,438 Beach 40th St,Queens,11691,40.596336,,712.0,99.0,2.4,1680.0,100.0,5.0,4.0,159.0,,19731.0,453.0,72.0,79.0,43.0,20.0,25.0,97.0,71.0,25.0,14.0
2015,FOREST HILLS CO-OP,NY005002000,NY New York NY005002000 FOREST HILLS CO-OP,10853 62nd Dr,Queens,11375,40.735866,,430.0,99.0,1.9,795.0,100.0,7.0,5.0,222.0,,35226.0,644.0,47.0,64.0,9.0,36.0,67.0,62.0,24.0,29.0,23.0
2015,WHITMAN,NY005005140,NY New York NY005005140 WHITMAN,117 N Oxford Walk,Brooklyn,11205,40.694668,,1632.0,99.0,2.4,3886.0,100.0,4.0,4.0,182.0,,24153.0,520.0,61.0,76.0,34.0,17.0,30.0,98.0,64.0,27.0,28.0
2015,HARLEM RIVER,NY005010030,NY New York NY005010030 HARLEM RIVER,1945 Amsterdam Ave,New York,10032,40.832448,,1261.0,96.0,1.9,2221.0,100.0,5.0,6.0,162.0,,20468.0,441.0,70.0,71.0,24.0,25.0,51.0,99.0,48.0,49.0,12.0
2015,VLADECK,NY005010060,NY New York NY005010060 VLADECK,622 Water St,New York,10002,40.711488,,1762.0,98.0,2.0,3509.0,100.0,4.0,4.0,190.0,,23330.0,491.0,62.0,67.0,21.0,23.0,44.0,94.0,18.0,51.0,17.0
2015,SOUTH JAMAICA II,NY005010080,NY New York NY005010080 SOUTH JAMAICA II,10616 159th St,Queens,11433,40.69607,,1038.0,98.0,2.3,2360.0,99.0,4.0,4.0,200.0,,22624.0,491.0,63.0,84.0,40.0,19.0,26.0,98.0,80.0,17.0,21.0
