bbl,executed_date
3032940016,2023-04-03
3032940016,2023-04-04
3032940016,2023-05-03
4160010002,2023-05-16
3031700026,2023-05-17
3031700026,2023-05-17
2031430155,2023-05-18
2022690100,2023-05-24
3083290225,2023-06-05
4160020001,2023-06-07
3050840084,2023-06-12
4160020001,2023-06-21
3048680034,2023-06-21
3050850090,2023-06-27
3050850090,2023-06-27
4160010002,2023-06-28
3050850083,2023-07-06
4160010002,2023-07-10
5001960001,2023-07-21
3050830071,2023-07-26
3050840061,2023-07-26
5001960001,2023-07-27
3030250046,2023-08-02
3050840097,2023-08-02
3048530086,2023-08-02
3048530093,2023-08-04
1019840001,2023-09-05
3050840061,2023-09-13
3050850083,2023-09-18
3050840084,2023-09-26
3032940016,2023-10-02
3033250001,2023-10-03
3050830086,2023-10-11
4160020001,2023-10-13
3004010001,2023-10-24
3031700026,2023-10-27
3050840084,2023-10-27
3050840084,2023-11-13
3032740002,2023-11-17
3043690001,2023-11-20
4160020001,2023-11-20
3043690001,2023-11-20
3043690001,2023-11-28
3050840084,2023-12-04
1019840001,2023-12-08
2031430155,2023-12-14
2031430155,2023-12-14
3030720001,2024-01-04
3050840084,2024-01-05
3048710052,2024-01-08
1003960010,2024-01-17
3050840084,2024-01-24
5001960001,2024-01-25
3050840084,2024-02-08
3050840084,2024-02-09
3032940016,2024-02-23
3032940016,2024-02-23
3050850083,2024-02-23
3032940016,2024-02-23
3050850083,2024-02-23
3032740002,2024-02-26
2022690100,2024-02-27
1019840001,2024-02-27
1019840001,2024-02-27
1020370011,2024-02-28
2022690100,2024-02-29
4160020001,2024-03-04
1020370011,2024-03-14
3083290225,2024-03-15
3048710052,2024-03-26
2049050360,2024-03-27
3030270001,2024-03-29
4160020001,2024-04-03
3043690001,2024-04-08
3030260001,2024-04-10
3050840084,2024-04-11
3050830071,2024-04-19
3050870014,2024-04-19
3043690001,2024-04-22
3048530086,2024-04-26
3030270001,2024-05-03
3050880021,2024-05-10
3032940016,2024-05-10
1019840001,2024-05-10
3048710052,2024-05-13
3050840084,2024-05-20
4160010002,2024-05-22
3083290225,2024-05-30
3030270001,2024-05-31
3004010001,2024-06-04
2049050360,2024-06-04
4160010002,2024-06-12
1020370011,2024-06-12
1016830018,2024-06-18
1020090044,2024-06-27
3030240001,2024-06-28
3043690001,2024-07-08
2049050360,2024-07-11
2049050360,2024-07-11
2049050360,2024-07-11
3030240001,2024-07-15
3030240001,2024-07-15
3050880021,2024-07-15
2031430155,2024-07-16
4160020001,2024-07-17
4160020001,2024-07-17
4160010002,2024-07-22
4160020001,2024-07-22
1020110061,2024-08-01
3050840084,2024-08-02
3030240001,2024-08-07
3050850083,2024-08-07
3030270001,2024-08-07
3050840061,2024-08-07
3048530093,2024-08-14
2022690100,2024-08-16
4160010002,2024-08-19
4160020001,2024-08-19
3048530086,2024-08-21
2031430155,2024-09-16
2049050360,2024-09-16
2049050360,2024-09-16
2031430155,2024-09-16
2031430155,2024-09-16
3032940016,2024-09-18
3030250046,2024-09-25
3030250046,2024-10-02
1020160060,2024-10-03
